代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值_x,流通市值_x,换手率,净利润同比增长率,市盈率,市净率,市销率,总市值_y,流通市值_y,综合评分
600356,恒丰纸业,10.13,0.4,38353.0,38628825.0,10.15,10.0,10.04,10.09,3338204786.0,3026148859.0,1.28,70.72,14.67,1.28,0.6,3338204786.0,3026148859.0,28.2
001218,丽臣实业,26.95,-1.32,34161.0,92766462.56,27.79,26.71,27.4,27.31,3508304107.0,3181748532.0,2.89,47.99,11.36,2.89,-0.07,3508304107.0,3181748532.0,28.2
603900,莱绅通灵,7.9,0.64,48911.0,38659078.0,7.94,7.84,7.88,7.85,2709414336.0,2707518336.0,1.43,132.4100554343,12.66,1.43,-0.13,2709414336.0,2707518336.0,28.2
000692,惠天热电,5.16,0.19,159473.0,81913852.0,5.22,5.08,5.12,5.15,2749418156.0,2749418156.0,2.99,83.63,13.94,2.99,0.19,2749418156.0,2749418156.0,28.2
600738,丽尚国潮,4.76,0.85,37457.0,17767206.0,4.76,4.71,4.72,4.72,3623955723.0,3620771093.0,0.49,126.02,14.76,0.49,0.21,3623955723.0,3620771093.0,28.2
605259,绿田机械,19.66,-0.51,7494.0,14719142.0,19.88,19.55,19.87,19.76,3390956800.0,3390956800.0,0.43,31.95,18.86,0.43,0.05,3390956800.0,3390956800.0,27.8
300452,山河药辅,14.01,-0.43,18212.0,25532409.75,14.07,13.97,14.04,14.07,3284702557.0,2782807645.0,0.92,47.84,17.45,0.92,0.0,3284702557.0,2782807645.0,27.8
002286,保龄宝,10.21,1.49,49359.0,50147319.17,10.24,10.02,10.06,10.06,3885592950.0,3774530489.0,1.34,35.5,17.94,1.34,-0.1,3885592950.0,3774530489.0,27.8
001395,亚联机械,40.07,-0.17,4389.0,17581034.0,40.22,39.81,40.01,40.14,3495706800.0,1878882300.0,0.94,20.93,18.58,0.94,-0.02,3495706800.0,1878882300.0,27.8
002748,世龙实业,12.7,-1.47,25535.0,32638371.0,12.9,12.69,12.81,12.89,3048000000.0,3048000000.0,1.06,120.12,19.8,1.06,0.0,3048000000.0,3048000000.0,27.8
