代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值_x,流通市值_x,换手率,净利润同比增长率,市盈率,市净率,市销率,总市值_y,流通市值_y,综合评分
603101,汇嘉时代,6.89,1.47,71957.0,49520692.0,6.97,6.77,6.84,6.79,3241056000.0,3241056000.0,1.53,31.76,12.58,1.53,0.15,3241056000.0,3241056000.0,28.2
001218,丽臣实业,25.42,2.91,22296.0,56069483.01,25.45,24.58,24.82,24.7,3309131369.0,3001114941.0,1.89,47.99,10.72,1.89,-0.08,3309131369.0,3001114941.0,28.2
603900,莱绅通灵,6.41,2.72,77757.0,49674486.0,6.53,6.23,6.28,6.24,2198398214.0,2196859814.0,2.27,132.4100554343,10.27,2.27,0.16,2198398214.0,2196859814.0,28.2
000692,惠天热电,4.49,-0.44,157511.0,71033933.0,4.58,4.41,4.56,4.51,2392420062.0,2392420062.0,2.96,83.63,12.13,2.96,-0.22,2392420062.0,2392420062.0,28.2
600356,恒丰纸业,8.54,0.83,44680.0,38105398.0,8.59,8.39,8.5,8.47,2814241744.0,2551165968.0,1.5,70.72,12.36,1.5,-0.47,2814241744.0,2551165968.0,28.2
002357,富临运业,9.39,0.64,77584.0,72390823.22,9.44,9.18,9.39,9.33,2943662048.0,2943556411.0,2.47,40.18,11.23,2.47,0.54,2943662048.0,2943556411.0,28.2
002942,新农股份,16.31,0.87,18488.0,29937304.7,16.36,15.88,16.3,16.17,2535890543.0,2263144334.0,1.33,65.27,13.75,1.33,0.12,2535890543.0,2263144334.0,28.2
600738,XD丽尚国,4.1,3.8,107467.0,43722548.0,4.13,3.96,4.02,3.95,3121474468.0,3118731404.0,1.41,126.02,12.71,1.41,0.0,3121474468.0,3118731404.0,28.2
605259,绿田机械,17.96,1.47,9778.0,17474612.0,18.04,17.65,17.73,17.7,3097740800.0,3097740800.0,0.57,31.95,17.23,0.57,0.34,3097740800.0,3097740800.0,27.8
603238,诺邦股份,12.63,2.6,24792.0,31129738.0,12.7,12.23,12.37,12.31,2241938670.0,2241938670.0,1.4,23.2,18.06,1.4,0.16,2241938670.0,2241938670.0,27.8
301283,聚胶股份,26.23,1.79,10780.0,28023418.97,26.3,25.5,25.89,25.77,3048522890.0,2396504684.0,1.18,144.63,19.17,1.18,-0.11,3048522890.0,2396504684.0,27.8
001395,亚联机械,37.1,1.03,7604.0,28046363.5,37.1,36.62,36.88,36.72,3236604000.0,1484185500.0,1.9,20.93,17.2,1.9,0.22,3236604000.0,1484185500.0,27.8
003017,大洋生物,26.74,-0.04,17225.0,46110139.66,27.08,26.31,26.82,26.75,2246160000.0,1852760799.0,2.49,56.64,18.19,2.49,-0.04,2246160000.0,1852760799.0,27.8
603080,新疆火炬,20.74,2.17,25346.0,52191660.0,20.98,19.97,20.28,20.3,2934710000.0,2934710000.0,1.79,34.43,16.26,1.79,0.0,2934710000.0,2934710000.0,27.8
000803,山高环能,7.46,2.19,123234.0,91068801.52,7.53,7.2,7.33,7.3,3478569301.0,3430016839.0,2.68,132.39,19.88,2.68,0.13,3478569301.0,3430016839.0,27.8
605033,美邦股份,18.96,1.39,21989.0,41433871.0,19.07,18.46,18.9,18.7,2563392000.0,2563392000.0,1.63,32.03,17.99,1.63,-0.11,2563392000.0,2563392000.0,27.8
300452,山河药辅,12.15,1.93,38749.0,46718530.22,12.19,11.8,12.05,11.92,2848643778.0,2413381595.0,1.95,47.84,15.13,1.95,0.08,2848643778.0,2413381595.0,27.8
603231,索宝蛋白,15.75,2.81,22086.0,34507652.0,15.86,15.26,15.32,15.32,3015480904.0,1673689217.0,2.08,56.56,23.72,2.08,-0.06,3015480904.0,1673689217.0,27.4
300534,陇神戎发,7.62,2.14,40620.0,30725338.5,7.64,7.39,7.5,7.46,2311488900.0,2301632339.0,1.34,79.56,23.43,1.34,0.0,2311488900.0,2301632339.0,27.4
688501,青达环保,22.17,-1.42,13777.0,30943725.0,23.0,22.0,22.54,22.49,2754090420.0,2754090420.0,1.11,88.16,24.36,1.11,0.18,2754090420.0,2754090420.0,27.4
603787,新日股份,9.91,2.59,37111.0,36538731.0,9.98,9.56,9.74,9.66,2280724959.0,2280724959.0,1.61,97.47,22.65,1.61,0.1,2280724959.0,2280724959.0,27.4
301060,兰卫医学,8.61,4.11,77244.0,65604949.81,8.65,8.27,8.33,8.27,3448451370.0,3101032764.0,2.14,71.9,23.36,2.14,0.23,3448451370.0,3101032764.0,27.4
300824,北鼎股份,8.15,0.62,38991.0,31708884.0,8.2,8.02,8.12,8.1,2659684708.0,2579559002.0,1.23,63.35,20.3,1.23,-0.37,2659684708.0,2579559002.0,27.4
300515,三德科技,14.72,1.45,17283.0,25482846.0,14.89,14.61,14.66,14.51,3028706240.0,2969874448.0,0.86,28.2,22.85,0.86,0.2,3028706240.0,2969874448.0,27.4
300030,阳普医疗,6.46,1.41,62100.0,39882963.02,6.52,6.26,6.41,6.37,1997350055.0,1758589973.0,2.28,112.32,23.03,2.28,0.31,1997350055.0,1758589973.0,27.4
001228,永泰运,26.82,0.6,9860.0,26409340.0,27.18,26.39,26.66,26.66,2785648813.0,2141968813.0,1.23,21.73,20.15,1.23,0.19,2785648813.0,2141968813.0,27.4
000565,渝三峡Ａ,6.49,0.78,90162.0,58202051.0,6.52,6.32,6.5,6.44,2814013508.0,2814013508.0,2.08,85.5,28.32,2.08,0.15,2814013508.0,2814013508.0,27.0
002817,黄山胶囊,6.51,0.93,53745.0,34750576.86,6.54,6.33,6.44,6.45,1947129087.0,1888155810.0,1.85,31.94,28.04,1.85,0.0,1947129087.0,1888155810.0,27.0
603755,日辰股份,26.72,0.6,19400.0,51797089.0,27.17,26.3,26.84,26.56,2634957556.0,2634957556.0,1.97,31.87,36.2,1.97,-0.07,2634957556.0,2634957556.0,26.599999999999998
301119,正强股份,32.09,1.2,9962.0,32025086.6,32.63,31.67,32.05,31.71,3337360000.0,2699089900.0,1.18,23.98,32.71,1.18,0.25,3337360000.0,2699089900.0,26.599999999999998
